_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,imdb,imdb_worker_input,no_imdb,no_wikipedia,wikipedia,wikipedia_worker_input,birth_name,date_of_birth,date_of_death,first,gender,id,imdb_gold,last,middle,place_of_birth,place_of_death,url_to_imdb_main_name_page,url_to_official_celebrity_website,url_to_verified_twitter_account,url_to_wikipedia_entry,wikipedia_gold
84873965,6/23/07 22:32,TRUE,148771547,FALSE,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,,http://www.imdb.com/find?s=all&q=randy+quaid,TRUE,FALSE,http://en.wikipedia.org/wiki/Randy_Quaid/,http://en.wikipedia.org/wiki/Randy_Quaid,,Oct  1 1950 12:00AM,,Randy,M,1399,http://imdb.com/name/nm0001642/,Quaid,,"Houston, Texas",,,,,,http://en.wikipedia.org/wiki/Randy_Quaid/
84875198,6/23/07 22:32,TRUE,148771548,FALSE,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,,http://www.imdb.com/find?s=all&q=Paul%20Feig,TRUE,FALSE,http://en.wikipedia.org/wiki/Paul_Feig/,http://en.wikipedia.org/wiki/Paul_Feig,,Sep 17 1962 12:00AM,,Paul,M,50431,http://imdb.com/name/nm0270552/,Feig,,"Royal Oak, Michigan",,,,,,http://en.wikipedia.org/wiki/Paul_Feig/
84873991,6/23/07 22:32,TRUE,148771549,,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,http://imdb.com/name/nm0437283/,http://www.imdb.com/name/nm0437283/,FALSE,FALSE,http://en.wikipedia.org/wiki/Christian_Kane/,http://en.wikipedia.org/wiki/Christian_Kane,,Jun 27 1974 12:00AM,,Christian,M,157586,http://imdb.com/name/nm0437283/,Kane,,"Dallas, Texas",,,,,,http://en.wikipedia.org/wiki/Christian_Kane/
84875070,6/23/07 22:32,FALSE,148771550,,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,http://imdb.com/name/nm0801051/,http://www.imdb.com/name/nm0801051/,FALSE,FALSE,http://en.wikipedia.org/wiki/Jimmi_Simpson/,http://en.wikipedia.org/wiki/Jimmi_Simpson,,,,Jimmi,M,198385,,Simpson,,"Hackettstown, New Jersey",,,,,,
84874315,6/23/07 22:32,FALSE,148771551,,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,http://imdb.com/name/nm0001764/,http://www.imdb.com/name/nm0001764/,FALSE,FALSE,http://en.wikipedia.org/wiki/John_Stamos/,http://en.wikipedia.org/wiki/John_Stamos,,Aug 19 1963 12:00AM,,John,M,33454,,Stamos,,"Cypress, California",,,,,,
84875006,6/23/07 22:32,FALSE,148771552,,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,http://imdb.com/name/nm0915919/,http://www.imdb.com/name/nm0915919/,FALSE,TRUE,,,,Feb 17 1971 12:00AM,,Michael,M,273893,,Weaver,,"Vancouver, British Columbia, Canada",,,,,,
84873996,6/23/07 22:32,TRUE,148771553,,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,http://imdb.com/name/nm0172472/,http://www.imdb.com/name/nm0172472/,FALSE,FALSE,http://en.wikipedia.org/wiki/Lauren_Collins/,http://en.wikipedia.org/wiki/Lauren_Collins,,Aug 29 1986 12:00AM,,Lauren,F,173761,http://imdb.com/name/nm0172472/,Collins,,"Thornhill, Toronto, Ontario",,,,,,http://en.wikipedia.org/wiki/Lauren_Collins/
84873963,6/23/07 22:32,TRUE,148771554,,6/23/07 22:20,FALSE,amt,1,3103492,USA,FL,Miami,99.61.61.230,http://imdb.com/name/nm0002091/,http://www.imdb.com/name/nm0002091/,FALSE,FALSE,http://en.wikipedia.org/wiki/Michael_Gambon/,http://en.wikipedia.org/wiki/Michael_Gambon,,Oct 19 1940 12:00AM,,Michael,M,71763,http://imdb.com/name/nm0002091/,Gambon,,"Dublin, Ireland",,,,,,http://en.wikipedia.org/wiki/Michael_Gambon/
84874019,6/23/07 22:33,TRUE,148772214,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0107748/,http://www.imdb.com/name/nm0107748/,FALSE,FALSE,http://en.wikipedia.org/wiki/Spencer_Breslin/,http://en.wikipedia.org/wiki/Spencer_Breslin,,May 18 1992 12:00AM,,Spencer,M,174541,http://imdb.com/name/nm0107748/,Breslin,,"New York City, New York",,,,,,http://en.wikipedia.org/wiki/Spencer_Breslin/
84873976,6/23/07 22:33,TRUE,148772215,,6/23/07 22:27,FALSE,prodege,1,3133366,USA,MI,Port Huron,76.112.106.78,http://imdb.com/name/nm0000513/,http://www.imdb.com/name/nm0000513/,FALSE,FALSE,http://en.wikipedia.org/wiki/William_Macy/,http://en.wikipedia.org/wiki/William_Macy,,Mar 13 1950 12:00AM,,William,M,66104,http://imdb.com/name/nm0000513/,Macy,H.,"Miami, Florida",,,,,,http://en.wikipedia.org/wiki/William_Macy/
